Tag Code,Release Site Name,Mark Date,Mark DOY,Mark Length mm,Mark Weight g,Release Temp. C,Recap Date,Recap DOY,Recap Site,Recap Length mm,Recap Weight g,Total days,Growth_FL,Growth_Wt
7F7F145731,Bear Valley Creek,8/15/1989,227,60,3.1,12,5/8/1990,128,Lower Granite,101,10.2,266,41,7.1
7F7F17350B,Bear Valley Creek,8/16/1989,228,61,2.8,10,4/26/1990,116,Lower Granite,110,12.2,253,49,9.4
7F7F171E67,Bear Valley Creek,8/16/1989,228,64,3.5,10,5/1/1990,121,Lower Granite,112,14.5,258,48,11
7F7F770716,Bear Valley Creek,8/2/1990,214,69,4.1,16,5/21/1991,141,Lower Granite,100,11.4,292,31,7.3
7F7F766807,Bear Valley Creek,8/3/1990,215,69,5,11.5,6/24/1991,175,Lower Granite,116,18,325,47,13
7F7F760316,Bear Valley Creek,8/4/1990,216,69,4.5,16,4/25/1991,115,Lower Granite,99,9.7,264,30,5.2
7F7F5E4163,Bear Valley Creek,8/4/1990,216,74,6.4,14,4/18/1991,108,Lower Granite,101,11.1,257,27,4.7
7F7F760969,Bear Valley Creek,8/4/1990,216,84,9.4,14,5/7/1991,127,Lower Granite,110,14.4,276,26,5
7F7D40547E,Bear Valley Creek,7/29/1992,211,74,4.4,14.5,6/29/1993,180,Lower Granite,135,28.8,334,61,24.4
7F7D41243D,Bear Valley Creek,7/31/1992,213,70,3.9,15.5,7/14/1993,195,Lower Granite,134,23.4,347,64,19.5
7F7D41604A,Bear Valley Creek,7/31/1992,213,71,3.8,14.5,6/29/1993,180,Lower Granite,122,22.3,332,51,18.5
7F7D416D49,Bear Valley Creek,7/31/1992,213,73,4.6,14.5,6/24/1993,175,Lower Granite,129,27.8,327,56,23.2
7F7D34020C,Bear Valley Creek,7/31/1992,213,78,5.1,14.5,5/13/1993,133,Little Goose,111,12.4,285,33,7.3
3D9.1BF13C6F48,Bear Valley Creek,7/23/2002,204,56,2.5,14,6/2/2003,153,Little Goose,116,16.3,314,60,13.8
3D9.1BF1307F06,Bear Valley Creek,7/23/2002,204,61,2.8,14,4/24/2003,114,Little Goose,109,12.7,275,48,9.9
3D9.1BF130E91B,Bear Valley Creek,7/23/2002,204,63,3.3,14,4/25/2003,115,Little Goose,104,10.6,276,41,7.3
3D9.1BF13C7A3B,Bear Valley Creek,7/23/2002,204,64,3.2,14,4/18/2003,108,Little Goose,97,8.4,269,33,5.2
