"","times","Eggs","L1","L2","L3","L4","Pupae","TenAd","Adults"
"1",1,0,0,0,0,0,0,0,0
"2",2,0,0,0,0,0,0,0,0
"3",3,0,0,0,0,0,0,0,0
"4",4,0,0,0,0,0,0,0,0
"5",5,0,0,0,0,0,0,0,0
"6",6,0,0,0,0,0,0,0,0
"7",7,0,0,0,0,0,0,0,0
"8",8,0,0,0,0,0,0,0,0
"9",9,0,0,0,0,0,0,0,0
"10",10,0,0,0,0,0,0,0,0
"11",11,0,0,0,0,0,0,0,0
"12",12,0,0,0,0,0,0,0,0
"13",13,0,0,0,0,0,0,0,0
"14",14,0,0,0,0,0,0,0,0
"15",15,0,0,0,0,0,0,0,0
"16",16,6,0,0,0,0,0,0,0
"17",17,14,0,0,0,0,0,0,0
"18",18,21,0,0,0,0,0,0,0
"19",19,26,0,0,0,0,0,0,0
"20",20,32,0,0,0,0,0,0,0
"21",21,33,1,0,0,0,0,0,0
"22",22,28,9,0,0,0,0,0,0
"23",23,27,16,0,0,0,0,0,0
"24",24,22,21,1,0,0,0,0,0
"25",25,23,21,2,0,0,0,0,0
"26",26,24,20,5,0,0,0,0,0
"27",27,21,21,12,0,0,0,0,0
"28",28,23,16,18,0,0,0,0,0
"29",29,18,13,25,1,0,0,0,0
"30",30,20,13,27,3,0,0,0,0
"31",31,16,12,25,11,0,0,0,0
"32",32,13,13,21,18,0,0,0,0
"33",33,9,14,18,25,0,0,0,0
"34",34,9,9,17,29,2,0,0,0
"35",35,8,6,19,30,3,0,0,0
"36",36,4,9,17,31,6,0,0,0
"37",37,6,7,17,31,8,0,0,0
"38",38,6,7,17,30,9,0,0,0
"39",39,5,9,17,30,9,0,0,0
"40",40,6,8,15,31,11,0,0,0
"41",41,8,8,15,28,14,0,0,0
"42",42,7,9,15,27,15,0,0,0
"43",43,7,6,13,27,20,0,0,0
"44",44,10,2,14,29,21,0,0,0
"45",45,9,2,13,29,23,0,0,0
"46",46,9,2,11,29,25,0,0,0
"47",47,9,1,12,29,25,0,0,0
"48",48,7,3,10,28,28,0,0,0
"49",49,7,4,9,28,29,0,0,0
"50",50,8,4,9,27,30,0,0,0
"51",51,7,5,9,26,31,0,0,0
"52",52,7,5,9,26,31,0,0,0
"53",53,6,7,9,25,32,0,0,0
"54",54,6,6,8,21,38,0,0,0
"55",55,6,6,8,20,39,0,0,0
"56",56,6,6,8,20,39,0,0,0
"57",57,6,6,8,20,39,0,0,0
"58",58,6,6,8,20,39,0,0,0
"59",59,6,5,8,21,39,0,0,0
"60",60,6,5,8,21,39,0,0,0
"61",61,5,6,7,21,40,0,0,0
"62",62,3,6,6,22,42,0,0,0
"63",63,3,5,5,24,42,0,0,0
"64",64,4,3,7,23,43,0,0,0
"65",65,5,2,8,20,46,0,0,0
"66",66,4,3,8,19,47,0,0,0
"67",67,3,4,8,17,49,0,0,0
"68",68,2,4,8,15,52,0,0,0
"69",69,2,3,8,13,53,2,0,0
"70",70,2,2,8,11,54,4,0,0
"71",71,2,2,8,11,54,4,0,0
"72",72,2,2,6,13,54,4,0,0
"73",73,2,2,6,13,54,4,0,0
"74",74,1,2,6,13,55,4,0,0
"75",75,1,2,6,12,56,4,0,0
"76",76,0,2,5,13,57,4,0,0
"77",77,0,2,4,13,58,4,0,0
"78",78,0,2,4,12,59,4,0,0
"79",79,0,2,4,12,59,4,0,0
"80",80,0,2,4,12,59,4,0,0
"81",81,0,2,4,12,59,4,0,0
"82",82,0,2,4,11,60,4,0,0
"83",83,0,2,4,10,61,4,0,0
"84",84,0,2,4,9,61,4,1,0
"85",85,0,2,4,9,61,4,1,0
"86",86,0,2,4,9,61,3,2,0
"87",87,0,2,4,9,61,3,2,0
"88",88,0,1,4,10,61,1,4,0
"89",89,0,0,5,10,61,1,4,0
"90",90,0,0,4,11,61,1,4,0
"91",91,0,0,4,11,61,1,4,0
"92",92,0,0,4,11,61,1,4,0
"93",93,0,0,4,11,61,1,4,0
"94",94,0,0,4,11,61,1,4,0
"95",95,0,0,4,11,61,1,4,0
"96",96,1,0,4,11,61,1,4,0
"97",97,1,0,4,10,62,1,4,0
"98",98,1,0,4,10,62,1,4,0
"99",99,1,0,4,10,62,1,4,0
"100",100,1,0,3,11,62,1,4,0
"101",101,1,0,3,11,62,1,4,0
"102",102,1,0,3,11,62,1,4,0
"103",103,1,0,3,11,62,1,4,0
"104",104,1,0,3,11,62,1,4,0
"105",105,1,0,3,11,62,1,4,0
"106",106,1,0,3,11,62,1,4,0
"107",107,1,0,3,11,62,1,4,0
"108",108,1,0,3,11,62,1,4,0
"109",109,1,0,3,11,62,1,4,0
"110",110,1,0,3,11,62,1,4,0
"111",111,1,0,3,11,62,1,4,0
"112",112,1,0,3,11,62,1,4,0
"113",113,1,0,3,11,62,1,4,0
"114",114,1,0,3,11,62,1,4,0
"115",115,1,0,3,11,62,1,4,0
"116",116,1,0,3,11,62,1,4,0
"117",117,1,0,3,11,62,1,4,0
"118",118,1,0,3,11,62,1,4,0
"119",119,1,0,3,11,62,1,4,0
"120",120,0,0,3,11,62,0,0,0
"121",121,0,0,3,11,62,0,0,0
"122",122,0,0,3,11,62,0,0,0
"123",123,0,0,3,11,62,0,0,0
"124",124,0,0,3,11,62,0,0,0
"125",125,0,0,3,11,62,0,0,0
"126",126,0,0,3,11,62,0,0,0
"127",127,0,0,3,11,62,0,0,0
"128",128,0,0,3,11,62,0,0,0
"129",129,0,0,3,11,62,0,0,0
"130",130,0,0,3,11,62,0,0,0
"131",131,0,0,3,11,62,0,0,0
"132",132,0,0,3,11,62,0,0,0
"133",133,0,0,3,11,62,0,0,0
"134",134,0,0,3,11,62,0,0,0
"135",135,0,0,3,11,62,0,0,0
"136",136,0,0,3,11,62,0,0,0
"137",137,0,0,3,11,62,0,0,0
"138",138,0,0,3,11,62,0,0,0
"139",139,0,0,3,11,62,0,0,0
"140",140,0,0,3,11,62,0,0,0
"141",141,0,0,3,11,62,0,0,0
"142",142,0,0,3,11,62,0,0,0
"143",143,0,0,3,11,62,0,0,0
"144",144,0,0,3,11,62,0,0,0
"145",145,0,0,3,11,62,0,0,0
"146",146,0,0,3,11,62,0,0,0
"147",147,0,0,3,11,62,0,0,0
"148",148,0,0,3,11,62,0,0,0
"149",149,0,0,3,11,62,0,0,0
"150",150,0,0,3,11,62,0,0,0
"151",151,0,0,3,11,62,0,0,0
"152",152,0,0,3,11,62,0,0,0
"153",153,0,0,3,11,62,0,0,0
"154",154,0,0,3,11,62,0,0,0
"155",155,0,0,3,11,62,0,0,0
"156",156,0,0,3,11,62,0,0,0
"157",157,0,0,3,11,62,0,0,0
"158",158,0,0,3,11,62,0,0,0
"159",159,0,0,3,11,62,0,0,0
"160",160,0,0,3,11,62,0,0,0
"161",161,0,0,3,11,62,0,0,0
"162",162,0,0,3,11,62,0,0,0
"163",163,0,0,3,11,62,0,0,0
"164",164,0,0,3,11,62,0,0,0
"165",165,0,0,3,11,62,0,0,0
"166",166,0,0,3,11,62,0,0,0
"167",167,0,0,3,11,62,0,0,0
"168",168,0,0,3,11,62,0,0,0
"169",169,0,0,3,11,62,0,0,0
"170",170,0,0,3,11,62,0,0,0
"171",171,0,0,3,11,62,0,0,0
"172",172,0,0,3,11,62,0,0,0
"173",173,0,0,3,11,62,0,0,0
"174",174,0,0,3,11,62,0,0,0
"175",175,0,0,3,11,62,0,0,0
"176",176,0,0,3,11,62,0,0,0
"177",177,0,0,3,11,62,0,0,0
"178",178,0,0,3,11,62,0,0,0
"179",179,0,0,3,11,62,0,0,0
"180",180,0,0,3,11,62,0,0,0
"181",181,0,0,3,11,62,0,0,0
"182",182,0,0,3,11,62,0,0,0
"183",183,0,0,3,11,62,0,0,0
"184",184,0,0,3,11,62,0,0,0
"185",185,0,0,3,11,62,0,0,0
"186",186,0,0,3,11,62,0,0,0
"187",187,0,0,3,11,62,0,0,0
"188",188,0,0,3,11,62,0,0,0
"189",189,0,0,3,11,62,0,0,0
"190",190,0,0,3,11,62,0,0,0
"191",191,0,0,3,11,62,0,0,0
"192",192,0,0,3,11,62,0,0,0
"193",193,0,0,3,11,62,0,0,0
"194",194,0,0,3,11,62,0,0,0
"195",195,0,0,3,11,62,0,0,0
"196",196,0,0,3,11,62,0,0,0
"197",197,0,0,3,11,62,0,0,0
"198",198,0,0,3,11,62,0,0,0
"199",199,0,0,3,11,62,0,0,0
"200",200,0,0,3,11,62,0,0,0
"201",201,0,0,3,11,62,0,0,0
"202",202,0,0,3,11,62,0,0,0
"203",203,0,0,3,11,62,0,0,0
"204",204,0,0,3,11,62,0,0,0
