,Site,Project,Longitude,Latitude,Elevation,Year
1,93Smoky2008,Smoky,-119.9786667,54.04981667,1581,2008
2,100Smoky2008,Smoky,-119.9673,54.0557,1625,2008
3,99Smoky2008,Smoky,-119.9842667,54.10373333,1440,2008
4,94Smoky2008,Smoky,-119.8391833,53.98048333,1490,2008
5,95Smoky2008,Smoky,-119.8016167,53.9579,1490,2008
6,109Smoky2008,Smoky,-119.9057667,54.11393333,1420,2008
7,92Smoky2008,Smoky,-119.9281,54.13985,1425,2008
8,77Smoky2008,Smoky,-119.8914167,54.1038,1530,2008
9,96Smoky2008,Smoky,-119.78895,54.0177,1510,2008
10,108Smoky2008,Smoky,-119.9097333,54.14178333,1620,2008
11,76Smoky2008,Smoky,-119.9321,54.17425,1450,2008
12,107Smoky2008,Smoky,-119.8284833,54.105,1520,2008
13,101Smoky2008,Smoky,-119.7540167,54.03463333,1560,2008
14,97Smoky2008,Smoky,-119.8035667,54.09326667,1480,2008
15,106Smoky2008,Smoky,-119.7500833,54.09521667,1450,2008
16,104Smoky2008,Smoky,-119.7440667,54.08975,1260,2008
17,102Smoky2008,Smoky,-119.6892833,54.04343333,1530,2008
18,73Smoky2008,Smoky,-119.8668667,54.25636667,1390,2008
19,105Smoky2008,Smoky,-119.6976167,54.10206667,1425,2008
20,103Smoky2008,Smoky,-119.6619667,54.07693333,1465,2008
21,47Smoky2008,Smoky,-119.9495667,54.38606667,950,2008
22,98Smoky2008,Smoky,-119.6571,54.10706667,1420,2008
23,74Smoky2008,Smoky,-119.7104667,54.23838333,1425,2008
24,75Smoky2008,Smoky,-119.5449833,54.07908333,1475,2008
25,40Smoky2008,Smoky,-119.8595167,54.51933333,1131,2008
26,39Smoky2008,Smoky,-119.9982667,54.72763333,872,2008
27,64Smoky2008,Smoky,-119.7538,54.54786667,1323,2008
28,78Smoky2008,Smoky,-119.8467167,54.7235,810,2008
29,23Smoky2008,Smoky,-119.90375,54.87086667,945,2008
30,63Smoky2008,Smoky,-119.60235,54.636,1250,2008
31,24Smoky2008,Smoky,-119.8630667,54.99175,832,2008
32,90Smoky2008,Smoky,-119.4081167,54.55398333,1385,2008
33,41Smoky2008,Smoky,-119.6415167,54.79841667,850,2008
34,42Smoky2008,Smoky,-119.4846833,54.66196667,860,2008
35,68Smoky2008,Smoky,-119.25635,54.4548,1218,2008
36,16Smoky2008,Smoky,-119.98235,55.19486667,864,2008
37,67Smoky2008,Smoky,-119.17395,54.4365,1191,2008
38,85Smoky2008,Smoky,-119.9820667,55.3013,900,2008
39,49Smoky2008,Smoky,-119.5498167,54.91145,750,2008
40,48Smoky2008,Smoky,-119.3801833,54.75335,940,2008
41,45Smoky2008,Smoky,-119.9754167,55.43531667,780,2008
42,83Smoky2008,Smoky,-119.93355,55.3952,875,2008
43,15Smoky2008,Smoky,-119.9644,55.43091667,881,2008
44,84Smoky2008,Smoky,-119.9541333,55.42921667,895,2008
45,66Smoky2008,Smoky,-119.1613167,54.65965,1086,2008
46,26Smoky2008,Smoky,-119.3562,54.91943333,740,2008
47,25Smoky2008,Smoky,-119.4522167,55.0338,711,2008
48,52Smoky2008,Smoky,-119.1801167,54.83518333,676,2008
49,50Smoky2008,Smoky,-118.9800167,54.72958333,677,2008
50,69Smoky2008,Smoky,-118.6997,54.47895,962,2008
51,14Smoky2008,Smoky,-119.7227,55.53843333,784,2008
52,9Smoky2008,Smoky,-119.8892,55.76905,760,2008
53,65Smoky2008,Smoky,-118.6373,54.59503333,1370,2008
54,87Smoky2008,Smoky,-118.9097667,54.91441667,759,2008
55,10Smoky2008,Smoky,-119.6937333,55.71843333,750,2008
56,82Smoky2008,Smoky,-119.4876333,55.5429,740,2008
57,51Smoky2008,Smoky,-118.70875,54.78066667,690,2008
58,4Smoky2008,Smoky,-119.18975,55.27731667,710,2008
59,27Smoky2008,Smoky,-118.6077667,54.70105,690,2008
60,86Smoky2008,Smoky,-118.8368167,54.93046667,410,2008
61,71Smoky2008,Smoky,-118.5448333,54.65816667,820,2008
62,70Smoky2008,Smoky,-118.3801,54.4996,913,2008
63,28Smoky2008,Smoky,-118.6224,54.77986667,650,2008
64,53Smoky2008,Smoky,-118.4319667,54.64621667,898,2008
65,29Smoky2008,Smoky,-118.6411333,54.90685,622,2008
66,44Smoky2008,Smoky,-119.3733,55.67535,905,2008
67,43Smoky2008,Smoky,-119.3728833,55.67576667,904,2008
68,22Smoky2008,Smoky,-118.7332167,55.0984,650,2008
69,35Smoky2008,Smoky,-118.538,54.90441667,720,2008
70,79Smoky2008,Smoky,-119.7223667,56.13051667,760,2008
71,12Smoky2008,Smoky,-119.0983,55.51111667,895,2008
72,33Smoky2008,Smoky,-118.40295,54.8184,790,2008
73,54Smoky2008,Smoky,-118.3471,54.77588333,910,2008
74,55Smoky2008,Smoky,-118.3465167,54.80063333,890,2008
75,81Smoky2008,Smoky,-119.22315,55.69708333,830,2008
76,31Smoky2008,Smoky,-118.5710667,55.06371667,549,2008
77,21Smoky2008,Smoky,-118.5958167,55.1144,545,2008
78,8Smoky2008,Smoky,-119.2806167,55.80401667,734,2008
79,7Smoky2008,Smoky,-119.4197167,55.98256667,785,2008
80,32Smoky2008,Smoky,-118.3426,54.9124,680,2008
81,6Smoky2008,Smoky,-119.38795,55.97248333,754,2008
82,5Peace2008,Peace,-119.8387667,56.452,708,2008
83,37Smoky2008,Smoky,-118.2196667,54.84251667,722,2008
84,72Smoky2008,Smoky,-117.7146,54.35495,980,2008
85,30Smoky2008,Smoky,-118.3885167,55.03298333,650,2008
86,34Smoky2008,Smoky,-118.33355,54.99178333,660,2008
87,38Smoky2008,Smoky,-118.0384333,54.73166667,841,2008
88,110Smoky2008,Smoky,-118.7581333,55.46716667,910,2008
89,80Smoky2008,Smoky,-119.1590667,55.88815,810,2008
90,111Smoky2008,Smoky,-118.7509333,55.4855,950,2008
91,57Smoky2008,Smoky,-117.8614167,54.6687,788,2008
92,5Smoky2008,Smoky,-119.38155,56.21605,695,2008
93,4Peace2008,Peace,-119.6947,56.55866667,750,2008
94,56Smoky2008,Smoky,-117.9179667,54.80203333,810,2008
95,62Smoky2008,Smoky,-117.6061,54.53823333,810,2008
96,36Smoky2008,Smoky,-118.1616667,55.09955,631,2008
97,6Peace2008,Peace,-119.51925,56.46523333,690,2008
98,88Smoky2008,Smoky,-119.18975,56.21605,757,2008
99,13Smoky2008,Smoky,-118.4816,55.511,762,2008
100,19Peace2008,Peace,-119.8486333,56.89676667,750,2008
101,58Smoky2008,Smoky,-117.6613333,54.7603,940,2008
102,3Smoky2008,Smoky,-119.0802833,56.20921667,760,2008
103,24Peace2008,Peace,-119.9504667,57.08008333,777,2008
104,2Smoky2008,Smoky,-118.9365833,56.12356667,750,2008
105,91Smoky2008,Smoky,-117.4918333,54.7105,710,2008
106,18Peace2008,Peace,-119.7390333,56.99128333,812,2008
107,29Peace2008,Peace,-119.3752333,56.6278,1080,2008
108,60Smoky2008,Smoky,-117.2828333,54.5512,750,2008
